epoch,train_loss,dev_eer,lr,seconds
0,0.62831,0.02664,3.00e-04,690
1,0.39539,0.01839,3.00e-04,695
2,0.31025,0.01884,2.99e-04,685
3,0.28463,0.01570,2.96e-04,502
4,0.23574,0.02277,2.92e-04,497
5,0.22978,0.02512,2.86e-04,502
6,0.18578,0.01999,2.79e-04,506
7,0.17997,0.01176,2.69e-04,502
8,0.15717,0.00316,2.59e-04,515
9,0.13831,0.01844,2.47e-04,507
10,0.12386,0.00668,2.34e-04,514
11,0.12002,0.00307,2.20e-04,507
12,0.13062,0.02198,2.06e-04,512
13,0.10668,0.00548,1.90e-04,518
14,0.09574,0.00628,1.74e-04,511
15,0.08465,0.01143,1.58e-04,517
16,0.07391,0.00937,1.42e-04,505
